Year,TEMPERATURE,CHANGE
1964,7.94,1
1965,7.69,0.97
1966,8.1,1.05
1967,7.45,0.92
1968,8.04,1.08
1969,8.45,1.05
1970,8.37,0.99
1971,8.79,1.05
1972,8.32,0.95
1973,9.35,1.12
1974,8.66,0.93
1975,9.38,1.08
1976,7.87,0.84
1977,8.36,1.06
1978,7.51,0.9
1979,8.38,1.12
1980,8.25,0.98
1981,8.42,1.02
1982,8.24,0.98
1983,9.09,1.1
1984,8.73,0.96
1985,8.91,1.02
1986,8.66,0.97
1987,8.82,1.02
1988,8.34,0.95
1989,8.38,1.0
1990,9.78,1.17
1991,9.78,1.0
1992,8.23,0.84
1993,8.87,1.08
1994,8.9,1.0
1995,9.26,1.04
1996,8.62,0.93
1997,8.8,1.02
1998,10.45,1.19
1999,9.64,0.92
2000,8.45,0.88
2001,9.46,1.12
2002,9.83,1.04
2003,8.4,0.85
2004,8.86,1.05
2005,9.13,1.03
2006,10.08,1.1
2007,9.29,0.92
2008,9.29,1.0
2009,8.85,0.95
2010,10.02,1.13
2011,9.9,0.99
2012,10.65,1.08
2013,9.04,0.85
2014,8.0,0.88
2015,9.15,1.14
2016,9.96,1.09
2017,8.82,0.89
2018,8.55,0.97
2019,8.36,0.98
2020,9.16,1.1
2021,9.02,0.98
2022,8.47,0.94
2023,8.78,1.04
