Year,TEMPERATURE,CHANGE
1984,11.89,1
1985,12.13,1.02
1986,11.97,0.99
1987,11.94,1.0
1988,11.61,0.97
1989,11.58,1.0
1990,13.05,1.13
1991,13.04,1.0
1992,11.38,0.87
1993,12.14,1.07
1994,12.09,1.0
1995,12.23,1.01
1996,11.42,0.93
1997,11.83,1.04
1998,13.35,1.13
1999,12.7,0.95
2000,11.48,0.9
2001,12.62,1.1
2002,12.92,1.02
2003,11.32,0.88
2004,11.91,1.05
2005,12.25,1.03
2006,13.18,1.08
2007,12.37,0.94
2008,12.49,1.01
2009,11.85,0.95
2010,13.17,1.11
2011,13.06,0.99
2012,13.65,1.05
2013,12.17,0.89
2014,11.45,0.94
2015,12.54,1.1
2016,13.28,1.06
2017,12.41,0.93
2018,12.16,0.98
2019,12.11,1.0
2020,12.91,1.07
2021,12.8,0.99
2022,12.52,0.98
2023,13.03,1.04
