Year,TEMPERATURE,CHANGE
1984,15.76,1
1985,16.17,1.03
1986,16.07,0.99
1987,15.93,0.99
1988,15.75,0.99
1989,15.58,0.99
1990,17.15,1.1
1991,17.22,1.0
1992,15.23,0.88
1993,16.17,1.06
1994,16.13,1.0
1995,15.95,0.99
1996,14.93,0.94
1997,15.54,1.04
1998,16.83,1.08
1999,16.48,0.98
2000,15.2,0.92
2001,16.4,1.08
2002,16.79,1.02
2003,14.92,0.89
2004,15.84,1.06
2005,16.12,1.02
2006,17.04,1.06
2007,16.21,0.95
2008,16.36,1.01
2009,15.64,0.96
2010,16.99,1.09
2011,16.93,1.0
2012,17.37,1.03
2013,16.0,0.92
2014,15.53,0.97
2015,16.63,1.07
2016,17.33,1.04
2017,16.81,0.97
2018,16.54,0.98
2019,16.65,1.01
2020,17.46,1.05
2021,17.32,0.99
2022,17.45,1.01
2023,18.04,1.03
