Date,TEMPERATURE
2021-01-01,1.05
2021-01-02,5.54
2021-01-03,1.74
2021-01-04,2.95
2021-01-05,2.7
2021-01-06,1.93
2021-01-07,1.55
2021-01-08,-0.12
2021-01-09,-0.84
2021-01-10,0.73
2021-01-11,-1.66
2021-01-12,0.33
2021-01-13,0.59
2021-01-14,2.95
2021-01-15,2.9
2021-01-16,6.35
2021-01-17,3.31
2021-01-18,3.57
2021-01-19,1.77
2021-01-20,0.66
2021-01-21,-0.91
2021-01-22,2.55
2021-01-23,-1.39
2021-01-24,-3.18
2021-01-25,-1.59
2021-01-26,-0.16
2021-01-27,1.65
2021-01-28,-1.86
2021-01-29,-6.36
2021-01-30,-5.51
2021-01-31,-5.07
2021-02-01,-2.47
2021-02-02,0.12
2021-02-03,-0.2
2021-02-04,-0.61
2021-02-05,0.93
2021-02-06,0.3
2021-02-07,-1.65
2021-02-08,-5.91
2021-02-09,-4.7
2021-02-10,-4.06
2021-02-11,-2.44
2021-02-12,-5.98
2021-02-13,-4.68
2021-02-14,-1.26
2021-02-15,-0.55
2021-02-16,4.59
2021-02-17,-2.94
2021-02-18,-4.09
2021-02-19,-1.96
2021-02-20,-1.44
2021-02-21,-4.05
2021-02-22,-2.38
2021-02-23,2.04
2021-02-24,4.43
2021-02-25,5.9
2021-02-26,1.12
2021-02-27,5.73
2021-02-28,4.43
2021-03-01,6.08
2021-03-02,-2.11
2021-03-03,2.17
2021-03-04,2.91
2021-03-05,-2.06
2021-03-06,-0.86
2021-03-07,-1.16
2021-03-08,-0.8
2021-03-09,6.99
2021-03-10,5.18
2021-03-11,9.55
2021-03-12,14.17
2021-03-13,5.83
2021-03-14,5.56
2021-03-15,-1.07
2021-03-16,-0.75
2021-03-17,3.46
2021-03-18,5.92
2021-03-19,2.9
2021-03-20,3.25
2021-03-21,5.87
2021-03-22,6.38
2021-03-23,7.43
2021-03-24,8.62
2021-03-25,12.4
2021-03-26,15.71
2021-03-27,12.57
2021-03-28,11.7
2021-03-29,9.63
2021-03-30,7.22
2021-03-31,11.64
2021-04-01,8.87
2021-04-02,1.61
2021-04-03,3.4
2021-04-04,8.83
2021-04-05,11.5
2021-04-06,11.79
2021-04-07,12.11
2021-04-08,11.67
2021-04-09,9.3
2021-04-10,11.61
2021-04-11,12.52
