Date,TEMPERATURE
2023-01-01,9.84
2023-01-02,7.44
2023-01-03,9.11
2023-01-04,13.2
2023-01-05,10.58
2023-01-06,6.83
2023-01-07,3.96
2023-01-08,1.64
2023-01-09,3.19
2023-01-10,2.53
2023-01-11,1.35
2023-01-12,3.82
2023-01-13,10.26
2023-01-14,1.67
2023-01-15,0.63
2023-01-16,1.27
2023-01-17,2.27
2023-01-18,6.48
2023-01-19,4.23
2023-01-20,5.46
2023-01-21,3.63
2023-01-22,1.03
2023-01-23,2.57
2023-01-24,2.32
2023-01-25,1.11
2023-01-26,8.28
2023-01-27,2.81
2023-01-28,3.67
2023-01-29,5.36
2023-01-30,6.27
2023-01-31,4.21
2023-02-01,0.0
2023-02-02,-0.59
2023-02-03,-2.62
2023-02-04,-10.4
2023-02-05,0.33
2023-02-06,4.15
2023-02-07,0.23
2023-02-08,4.86
2023-02-09,3.5
2023-02-10,11.87
2023-02-11,4.53
2023-02-12,2.44
2023-02-13,6.13
2023-02-14,6.68
2023-02-15,8.77
2023-02-16,13.13
2023-02-17,11.2
2023-02-18,0.87
2023-02-19,3.4
2023-02-20,8.47
2023-02-21,5.5
2023-02-22,2.65
2023-02-23,4.28
2023-02-24,4.81
2023-02-25,-2.83
2023-02-26,1.64
2023-02-27,1.64
2023-02-28,1.3
2023-03-01,1.37
2023-03-02,6.34
2023-03-03,3.77
2023-03-04,5.46
2023-03-05,5.26
2023-03-06,5.78
2023-03-07,4.41
2023-03-08,2.66
2023-03-09,4.42
2023-03-10,2.95
2023-03-11,4.62
2023-03-12,3.22
2023-03-13,4.63
2023-03-14,2.69
2023-03-15,3.04
2023-03-16,4.8
2023-03-17,8.03
2023-03-18,8.55
2023-03-19,1.96
2023-03-20,2.5
2023-03-21,6.76
2023-03-22,7.88
2023-03-23,9.84
2023-03-24,9.87
2023-03-25,5.89
2023-03-26,8.81
2023-03-27,8.22
2023-03-28,6.69
2023-03-29,5.41
2023-03-30,3.88
2023-03-31,4.88
2023-04-01,14.18
2023-04-02,8.26
2023-04-03,6.22
2023-04-04,12.45
2023-04-05,12.61
2023-04-06,15.66
2023-04-07,12.54
2023-04-08,6.4
2023-04-09,6.54
2023-04-10,8.4
2023-04-11,13.64
2023-04-12,20.16
2023-04-13,21.51
2023-04-14,22.17
2023-04-15,18.73
2023-04-16,16.18
2023-04-17,14.26
2023-04-18,12.27
2023-04-19,9.96
2023-04-20,10.64
2023-04-21,12.92
2023-04-22,13.81
2023-04-23,14.94
2023-04-24,11.62
2023-04-25,10.52
2023-04-26,9.9
2023-04-27,10.74
2023-04-28,9.91
2023-04-29,10.4
2023-04-30,12.25
2023-05-01,13.17
2023-05-02,10.63
2023-05-03,9.7
2023-05-04,10.02
2023-05-05,11.56
2023-05-06,13.52
2023-05-07,15.88
2023-05-08,18.35
2023-05-09,15.15
2023-05-10,13.74
2023-05-11,17.12
2023-05-12,20.68
2023-05-13,22.4
2023-05-14,18.21
2023-05-15,17.11
2023-05-16,19.88
2023-05-17,16.57
2023-05-18,11.23
2023-05-19,14.48
2023-05-20,15.32
2023-05-21,17.45
2023-05-22,17.31
2023-05-23,14.68
2023-05-24,15.15
2023-05-25,14.95
2023-05-26,15.98
2023-05-27,17.06
2023-05-28,17.52
2023-05-29,18.82
2023-05-30,15.96
2023-05-31,15.92
2023-06-01,18.91
2023-06-02,22.16
2023-06-03,19.23
2023-06-04,15.62
2023-06-05,17.35
2023-06-06,19.53
2023-06-07,19.15
2023-06-08,16.91
2023-06-09,16.91
2023-06-10,18.54
2023-06-11,21.02
2023-06-12,21.33
2023-06-13,21.0
2023-06-14,18.75
2023-06-15,20.08
2023-06-16,19.62
2023-06-17,19.91
2023-06-18,21.06
2023-06-19,20.9
2023-06-20,19.71
2023-06-21,18.76
2023-06-22,17.95
2023-06-23,19.82
2023-06-24,21.55
2023-06-25,23.03
2023-06-26,21.76
2023-06-27,21.77
2023-06-28,22.78
2023-06-29,22.47
2023-06-30,23.01
2023-07-01,22.58
2023-07-02,24.1
2023-07-03,25.53
2023-07-04,24.73
2023-07-05,26.11
2023-07-06,26.39
2023-07-07,25.06
2023-07-08,25.71
2023-07-09,23.44
2023-07-10,24.2
2023-07-11,24.47
2023-07-12,26.3
2023-07-13,27.25
2023-07-14,24.92
2023-07-15,24.5
2023-07-16,24.34
2023-07-17,25.18
2023-07-18,25.38
2023-07-19,23.19
2023-07-20,23.88
2023-07-21,24.33
2023-07-22,23.72
2023-07-23,23.73
2023-07-24,24.32
2023-07-25,23.65
2023-07-26,23.33
2023-07-27,27.11
2023-07-28,27.45
2023-07-29,28.0
2023-07-30,23.05
2023-07-31,22.33
2023-08-01,22.44
2023-08-02,20.91
