Date,TEMPERATURE
2023-01-01,12.0
2023-01-02,12.9
2023-01-03,12.9
2023-01-04,18.0
2023-01-05,13.2
2023-01-06,8.7
2023-01-07,8.3
2023-01-08,4.3
2023-01-09,7.3
2023-01-10,6.3
2023-01-11,3.9
2023-01-12,9.7
2023-01-13,12.7
2023-01-14,3.9
2023-01-15,5.2
2023-01-16,8.2
2023-01-17,7.5
2023-01-18,10.8
2023-01-19,6.4
2023-01-20,9.0
2023-01-21,6.2
2023-01-22,5.6
2023-01-23,3.1
2023-01-24,7.8
2023-01-25,6.0
2023-01-26,11.9
2023-01-27,6.2
2023-01-28,10.9
2023-01-29,10.5
2023-01-30,11.7
2023-01-31,6.5
2023-02-01,3.2
2023-02-02,4.1
2023-02-03,1.0
2023-02-04,-3.8
2023-02-05,9.2
2023-02-06,10.2
2023-02-07,3.7
2023-02-08,10.5
2023-02-09,10.0
2023-02-10,14.1
2023-02-11,6.8
2023-02-12,6.9
2023-02-13,13.4
2023-02-14,11.4
2023-02-15,17.0
2023-02-16,19.3
2023-02-17,15.4
2023-02-18,5.8
2023-02-19,8.2
2023-02-20,15.4
2023-02-21,10.4
2023-02-22,5.6
2023-02-23,7.8
2023-02-24,7.5
2023-02-25,0.4
2023-02-26,10.2
2023-02-27,5.0
2023-02-28,2.2
2023-03-01,5.9
2023-03-02,13.8
2023-03-03,7.5
2023-03-04,7.2
2023-03-05,12.3
2023-03-06,10.2
2023-03-07,7.5
2023-03-08,9.5
2023-03-09,10.5
2023-03-10,7.5
2023-03-11,7.0
2023-03-12,7.9
2023-03-13,5.9
2023-03-14,4.6
2023-03-15,7.1
2023-03-16,13.4
2023-03-17,14.4
2023-03-18,11.1
2023-03-19,6.5
2023-03-20,10.7
2023-03-21,15.8
2023-03-22,13.3
2023-03-23,15.0
2023-03-24,14.6
2023-03-25,7.6
2023-03-26,15.1
2023-03-27,14.9
2023-03-28,11.2
2023-03-29,11.0
2023-03-30,7.6
2023-03-31,10.1
2023-04-01,19.7
2023-04-02,14.3
2023-04-03,13.4
2023-04-04,18.7
2023-04-05,16.3
2023-04-06,26.5
2023-04-07,17.8
2023-04-08,10.4
2023-04-09,11.8
2023-04-10,17.9
2023-04-11,23.0
2023-04-12,27.5
2023-04-13,31.1
2023-04-14,29.6
2023-04-15,23.0
2023-04-16,21.0
2023-04-17,20.1
2023-04-18,15.1
2023-04-19,17.5
2023-04-20,15.9
2023-04-21,19.1
2023-04-22,19.8
2023-04-23,19.2
2023-04-24,16.2
2023-04-25,15.2
2023-04-26,13.9
2023-04-27,13.5
2023-04-28,13.1
2023-04-29,12.3
2023-04-30,14.9
2023-05-01,15.7
2023-05-02,13.5
2023-05-03,12.6
2023-05-04,14.5
2023-05-05,17.2
2023-05-06,21.1
2023-05-07,23.8
2023-05-08,23.7
2023-05-09,19.3
2023-05-10,21.2
2023-05-11,25.4
2023-05-12,29.6
2023-05-13,27.4
2023-05-14,22.9
2023-05-15,25.4
2023-05-16,27.8
2023-05-17,21.8
2023-05-18,14.3
2023-05-19,19.6
2023-05-20,17.5
2023-05-21,21.9
2023-05-22,23.0
2023-05-23,19.5
2023-05-24,21.9
2023-05-25,19.2
2023-05-26,22.3
2023-05-27,24.4
2023-05-28,23.7
2023-05-29,24.7
2023-05-30,20.4
2023-05-31,22.6
2023-06-01,27.4
2023-06-02,30.8
2023-06-03,22.4
2023-06-04,21.5
2023-06-05,24.0
2023-06-06,25.8
2023-06-07,25.1
